Label,Observation Value
2010 Aug,217.923
2010 Sep,218.275
2010 Oct,219.035
2010 Nov,219.590
2010 Dec,220.472
2011 Jan,221.187
2011 Feb,221.898
2011 Mar,223.046
2011 Apr,224.093
2011 May,224.806
2011 Jun,224.806
2011 Jul,225.395
2011 Aug,226.106
2011 Sep,226.597
2011 Oct,226.750
2011 Nov,227.169
2011 Dec,227.223
2012 Jan,227.842
2012 Feb,228.329
2012 Mar,228.807
2012 Apr,229.187
2012 May,228.713
2012 Jun,228.524
2012 Jul,228.590
2012 Aug,229.918
2012 Sep,231.015
2012 Oct,231.638
2012 Nov,231.249
2012 Dec,231.221
2013 Jan,231.679
2013 Feb,232.937
2013 Mar,232.282
2013 Apr,231.797
2013 May,231.893
2013 Jun,232.445
2013 Jul,232.900
2013 Aug,233.456
2013 Sep,233.544
2013 Oct,233.669
2013 Nov,234.100
2013 Dec,234.719
2014 Jan,235.288
2014 Feb,235.547
2014 Mar,236.028
2014 Apr,236.468
2014 May,236.918
2014 Jun,237.231
2014 Jul,237.498
2014 Aug,237.460
2014 Sep,237.477
2014 Oct,237.430
2014 Nov,236.983
2014 Dec,236.252
2015 Jan,234.747
2015 Feb,235.342
2015 Mar,235.976
2015 Apr,236.222
2015 May,237.001
2015 Jun,237.657
2015 Jul,238.034
2015 Aug,238.033
2015 Sep,237.498
2015 Oct,237.733
2015 Nov,238.017
2015 Dec,237.761
2016 Jan,237.652
2016 Feb,237.336
2016 Mar,238.080
2016 Apr,238.992
2016 May,239.557
2016 Jun,240.222
2016 Jul,240.101
2016 Aug,240.545
2016 Sep,241.176
2016 Oct,241.741
2016 Nov,242.026
2016 Dec,242.637
2017 Jan,243.618
2017 Feb,244.006
2017 Mar,243.892
2017 Apr,244.193
2017 May,244.004
2017 Jun,244.163
2017 Jul,244.243
2017 Aug,245.183
2017 Sep,246.435
2017 Oct,246.626
2017 Nov,247.284
2017 Dec,247.805
2018 Jan,248.859
2018 Feb,249.529
2018 Mar,249.577
2018 Apr,250.227
2018 May,250.792
2018 Jun,251.018
2018 Jul,251.214
2018 Aug,251.663
2018 Sep,252.182
2018 Oct,252.772
2018 Nov,252.594
2018 Dec,252.767
2019 Jan,252.718
2019 Feb,253.322
2019 Mar,254.202
2019 Apr,255.211
2019 May,255.290
2019 Jun,255.159
2019 Jul,255.685
2019 Aug,256.059
2019 Sep,256.511
2019 Oct,257.244
2019 Nov,257.803
2019 Dec,258.616
2020 Jan,259.037
2020 Feb,259.248
2020 Mar,258.124
2020 Apr,256.092
2020 May,255.868
2020 Jun,256.986
2020 Jul,258.278
2020 Aug,259.411
2020 Sep,260.029
2020 Oct,260.286
2020 Nov,260.813
2020 Dec,262.035
2021 Jan,262.650
2021 Feb,263.638
2021 Mar,264.914
2021 Apr,266.670
2021 May,268.444
2021 Jun,270.559
2021 Jul,271.764
2021 Aug,272.870
2021 Sep,274.028
2021 Oct,276.522
2021 Nov,278.711
2021 Dec,280.887
2022 Jan,282.599
2022 Feb,284.610
2022 Mar,287.472
2022 Apr,288.611
2022 May,291.268
2022 Jun,294.728
2022 Jul,294.628
2022 Aug,295.320
2022 Sep,296.539
2022 Oct,297.987
2022 Nov,298.598
2022 Dec,298.990
