Label,Observation Value
2010 Aug,101.8
2010 Sep,102.1
2010 Oct,102.5
2010 Nov,102.8
2010 Dec,103.1
2011 Jan,103.7
2011 Feb,104.3
2011 Mar,105.0
2011 Apr,105.5
2011 May,105.8
2011 Jun,105.9
2011 Jul,106.1
2011 Aug,106.3
2011 Sep,106.7
2011 Oct,106.3
2011 Nov,106.6
2011 Dec,106.5
2012 Jan,106.9
2012 Feb,107.2
2012 Mar,107.4
2012 Apr,107.7
2012 May,107.6
2012 Jun,107.3
2012 Jul,107.2
2012 Aug,107.5
2012 Sep,108.2
2012 Oct,108.3
2012 Nov,108.4
2012 Dec,108.4
2013 Jan,108.7
2013 Feb,108.9
2013 Mar,108.9
2013 Apr,108.7
2013 May,108.6
2013 Jun,109.0
2013 Jul,109.2
2013 Aug,109.3
2013 Sep,109.3
2013 Oct,109.5
2013 Nov,109.7
2013 Dec,109.8
2014 Jan,110.1
2014 Feb,110.3
2014 Mar,110.7
2014 Apr,110.8
2014 May,111.0
2014 Jun,110.9
2014 Jul,111.3
2014 Aug,111.3
2014 Sep,111.1
2014 Oct,111.3
2014 Nov,111.1
2014 Dec,110.8
2015 Jan,110.1
2015 Feb,109.6
2015 Mar,109.8
2015 Apr,109.6
2015 May,110.0
2015 Jun,110.3
2015 Jul,110.5
2015 Aug,110.3
2015 Sep,109.9
2015 Oct,109.6
2015 Nov,109.7
2015 Dec,109.6
2016 Jan,110.0
2016 Feb,109.7
2016 Mar,109.7
2016 Apr,109.9
2016 May,110.1
2016 Jun,110.6
2016 Jul,110.5
2016 Aug,110.3
2016 Sep,110.6
2016 Oct,110.9
2016 Nov,111.1
2016 Dec,111.4
2017 Jan,111.9
2017 Feb,111.9
2017 Mar,112.1
2017 Apr,112.6
2017 May,112.5
2017 Jun,112.6
2017 Jul,112.7
2017 Aug,113.1
2017 Sep,113.5
2017 Oct,113.9
2017 Nov,114.3
2017 Dec,114.4
2018 Jan,114.8
2018 Feb,115.1
2018 Mar,115.3
2018 Apr,115.5
2018 May,115.9
2018 Jun,116.3
2018 Jul,116.4
2018 Aug,116.5
2018 Sep,116.7
2018 Oct,117.5
2018 Nov,117.4
2018 Dec,117.4
2019 Jan,117.0
2019 Feb,117.2
2019 Mar,117.6
2019 Apr,118.2
2019 May,118.3
2019 Jun,118.2
2019 Jul,118.4
2019 Aug,118.6
2019 Sep,118.3
2019 Oct,118.7
2019 Nov,118.6
2019 Dec,119.0
2020 Jan,119.3
2020 Feb,118.6
2020 Mar,118.0
2020 Apr,116.6
2020 May,117.2
2020 Jun,117.5
2020 Jul,118.2
2020 Aug,118.4
2020 Sep,118.7
2020 Oct,119.4
2020 Nov,119.5
2020 Dec,120.0
2021 Jan,121.3
2021 Feb,122.0
2021 Mar,122.8
2021 Apr,124.1
2021 May,125.2
2021 Jun,126.2
2021 Jul,127.453
2021 Aug,128.610
2021 Sep,129.210
2021 Oct,130.027
2021 Nov,131.452
2021 Dec,132.244
2022 Jan,133.648
2022 Feb,134.883
2022 Mar,137.035
2022 Apr,137.853
2022 May,138.895
2022 Jun,140.156
2022 Jul,139.761
2022 Aug,139.789
2022 Sep,140.191
2022 Oct,140.640
2022 Nov,141.175
2022 Dec,140.721
