Date,Open,High,Low,Close,Adj Close,Volume
2010-08-01,23.07,28.92,21.360001,26.049999,26.049999,0
2010-09-01,25.129999,25.129999,20.85,23.700001,23.700001,0
2010-10-01,22.9,24.34,17.9,21.200001,21.200001,0
2010-11-01,21.65,23.84,17.76,23.540001,23.540001,0
2010-12-01,21.190001,21.43,15.4,17.75,17.75,0
2011-01-01,17.940001,20.08,15.37,19.530001,19.530001,0
2011-02-01,18.59,23.219999,14.86,18.35,18.35,0
2011-03-01,17.629999,31.280001,17.07,17.74,17.74,0
2011-04-01,16.68,19.07,14.27,14.75,14.75,0
2011-05-01,15.07,20.030001,15.07,15.45,15.45,0
2011-06-01,15.95,24.65,15.88,16.52,16.52,0
2011-07-01,16.059999,25.940001,15.12,25.25,25.25,0
2011-08-01,22.629999,48,22.459999,31.620001,31.620001,0
2011-09-01,31.91,43.869999,30.43,42.959999,42.959999,0
2011-10-01,44.25,46.880001,24.440001,29.959999,29.959999,0
2011-11-01,36.029999,37.529999,27.030001,27.799999,27.799999,0
2011-12-01,27.629999,30.91,20.34,23.4,23.4,0
2012-01-01,22.950001,23.73,16.799999,19.440001,19.440001,0
2012-02-01,18.68,21.98,16.1,18.43,18.43,0
2012-03-01,18.02,21.24,13.66,15.5,15.5,0
2012-04-01,16.35,21.059999,15.02,17.15,17.15,0
2012-05-01,17.27,25.459999,16.01,24.059999,24.059999,0
2012-06-01,25.870001,27.73,16.77,17.08,17.08,0
2012-07-01,17.620001,21,15.45,18.93,18.93,0
2012-08-01,18.799999,19.25,13.3,17.469999,17.469999,0
2012-09-01,18.65,18.959999,13.51,15.73,15.73,0
2012-10-01,16.030001,19.65,13.67,18.6,18.6,0
2012-11-01,17.77,19.4,14.77,15.87,15.87,0
2012-12-01,15.81,23.23,15.41,18.02,18.02,0
2013-01-01,15.24,15.93,12.29,14.28,14.28,0
2013-02-01,13.37,19.280001,12.08,15.51,15.51,0
2013-03-01,16.1,16.82,11.05,12.7,12.7,0
2013-04-01,13.46,18.200001,11.99,13.52,13.52,0
2013-05-01,13.88,16.35,12.26,16.299999,16.299999,0
2013-06-01,16.4,21.91,14.96,16.860001,16.860001,0
2013-07-01,16.9,17.32,12.07,13.45,13.45,0
2013-08-01,12.89,17.809999,11.83,17.01,17.01,0
2013-09-01,16.469999,17.49,12.52,16.6,16.6,0
2013-10-01,16.309999,21.34,12.34,13.75,13.75,0
2013-11-01,13.46,14.14,11.99,13.7,13.7,0
2013-12-01,13.91,16.75,11.69,13.72,13.72,0
2014-01-01,14.32,18.99,11.81,18.41,18.41,0
